Unnamed: 0,content,score,timestamp,aspects,opinions,sentiments,categories
270,Terrible experience even SBP shouldn't do with the consumer failed to register due to otp issue Ridiculous ğŸ˜§,1,2024-02-05 19:18:52,"['SBP', 'consumer']","['Terrible experience', 'failed to register']","['negative', 'negative']","['COMPANY#GENERAL', 'SUPPORT#GENERAL']"
271,Sign up jo kar ke dikhaye use inaam....,1,2024-02-05 19:01:21,['Sign up'],['NULL'],['positive'],['SOFTWARE#GENERAL']
272,"Just 3rd class app as expected by the Govt, even we can't registered complaint on it. Like the other Govt departments its also a waste of time",1,2024-02-04 07:34:06,['app'],['3rd class'],['negative'],['SOFTWARE#GENERAL']
273,We are linked with different banks from the past few years and we need this app. This app is not even able to verify otp and breaks the entire registration entries. Totally bad experience with the said app,1,2024-02-02 07:30:24,['app'],['bad'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
274,"Third class interface, no way to register, ambiguous password requirement, no proper flow, an IT professional was unable to register, how can a common man use it? Why can't Government institutes higher professionals to develop their apps as private institutions do?",1,2024-02-01 10:30:34,"['interface', 'password requirement', 'NULL']","['Third class', 'ambiguous', 'NULL']","['negative', 'negative', 'negative']","['SOFTWARE#GENERAL', 'KEYBOARD#GENERAL', 'SOFTWARE#GENERAL']"
275,One of the pathetic App,1,2024-01-31 18:28:18,['App'],['pathetic'],['negative'],['SOFTWARE#GENERAL']
276,"Great app for public regarding banking injustice in any issue, I had lodged complaint and resolved timely within 2 days thanks to SBP Pakistan",5,2024-01-31 13:50:50,['app'],['Great'],['positive'],['SOFTWARE#GENERAL']
277,Great app Sunwai app State Bank Pakistan is a very good initiative .My Easy Paisa account was blocked since 15 months My account was unblocked after complaining on Sunwai app Thanks State Bank Pakistan,5,2024-01-31 12:08:25,"['app', 'Sunwai app', 'State Bank Pakistan']","['Great', 'Great', 'good initiative']","['positive', 'positive', 'positive']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL', 'SUPPORT#GENERAL']"
278,Register a complaint twice but issue not resolved and got same message that complaint resolved.,1,2024-01-30 23:58:37,['complaint'],['not resolved'],['negative'],['SUPPORT#GENERAL']
279,App sucks terribly... Doesn't even complete registration process... It takes all the details and then fails to send the otp. So sad...,1,2024-01-30 22:10:59,['App'],['sucks terribly'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
280,Pathetic as other government institutions at password app sleep as government employees,1,2024-01-30 20:57:10,['password app'],['Pathetic'],['negative'],['SOFTWARE#GENERAL']
281,Kesi charsi development team bithai hui hai SBP ne? OTP verify hi nhi hota. Useless app.,1,2024-01-30 19:00:55,['app'],['useless'],['negative'],['SOFTWARE#USABILITY']
282,Lakh lanat to the developers of this app . Doob kr mar jao,1,2024-01-29 19:38:32,['app'],['Lakh lanat'],['positive'],['SOFTWARE#GENERAL']
283,App download se ly kr complain tk to ok hy agy complain clear ho gi ya ni wo pata ni es liye 04 star â­ dya hy. Kisi ko OTP Ka masla aye to wo number ki bjaye email address select kry email py fori OTP a Jaye ga.,4,2024-01-28 21:57:33,['App'],['ok'],['negative'],['SOFTWARE#GENERAL']
284,Otp ee verify nhi ho rha,1,2024-01-28 21:26:34,['NULL'],['NULL'],['positive'],['LAPTOP#GENERAL']
285,Not Signing final & show error in verification of OTP,1,2024-01-28 14:29:59,['OTP'],['Not Signing final'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
286,"One of the most worst govt app. 1-OTP problem, 2-when I leave the app few seconds during write a complaint screen become completely black no option working than. And you have close the app forcely and log in again.",1,2024-01-28 14:09:19,['govt app'],['worst'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
287,Surprised to see 5 rating.. like on begining app is not working... Which mobile they 5 stars are using... They should have test and launch..,1,2024-01-27 14:59:00,['mobile'],['NULL'],['negative'],['LAPTOP#GENERAL']
288,Not able to log in but receiving emails that you are log on,1,2024-01-26 02:43:59,['email'],['NULL'],['negative'],['SUPPORT#GENERAL']
289,Is app k peechy jiska bhi idea he Allah Pak usy hmesha Khush rakhy ameen sum ameen. Mera issue 3 saal.s solve nai ho Raha tha hogya alhmdullilah complaint k 3 days me . Good job all team .,5,2024-01-25 16:45:24,['app'],['NULL'],['negative'],['SOFTWARE#GENERAL']
290,"Useless hai, zindigi wallet ki complaint karni thi, wo list main hi shamil nahi.",1,2024-01-22 14:52:17,['zindigi wallet'],['useless'],['negative'],['LAPTOP#GENERAL']
291,Vehari city add hi nhi kiya or search option dalo jb city ko select krna ho to search kr k find kr skyn,1,2024-01-19 18:12:43,['Vehari city'],['NULL'],['positive'],['RESTAURANT#GENERAL']
292,Listed Cities Names are not according to Actual Bank Branches Cities.,1,2024-01-19 12:05:15,['Listed Cities Names'],['not according to Actual Bank Branches Cities'],['negative'],['RESTAURANT#GENERAL']
293,"I rated 1 * because, without it i can't write a review, otherwise this useless app deserve dust. yet another attempt at surreptitious data collection. an app launched without planning or purpose. my sincere advice to all, please don't download and uninstall , via App Manager a/w cache & storage.",1,2024-01-19 11:36:31,['app'],['useless'],['negative'],['SOFTWARE#GENERAL']
294,Otp not received despite multiple attempts,1,2024-01-18 18:53:50,['Otp'],['not received'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
295,Bad experience with this app login problem ğŸ˜,1,2024-01-12 12:20:56,['app login'],['Bad'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
296,Pathetic portal of pathetic banking service of the world,1,2024-01-10 10:55:47,"['portal', 'banking service']","['Pathetic', 'pathetic']","['negative', 'negative']","['SERVICE#GENERAL', 'SERVICE#GENERAL']"
297,"At the last step to submit complaint, the system says ""exception occurred in get Request approval list"". What's wrong with this app, seems not tested before launch. Still not able to file complain against JazzCash.",1,2024-01-10 07:28:26,['app'],['wrong'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
298,Not working just a picture,1,2024-01-10 06:01:20,['picture'],['Not working'],['negative'],['DISPLAY#OPERATION_PERFORMANCE']
299,Very very poor app i create account but I can't login.,1,2024-01-09 14:12:42,['app'],['poor'],['negative'],['SOFTWARE#GENERAL']
300,App k indar koi option nahi aa raha hai pakistan main bas andar nagri hai,1,2024-01-08 09:52:20,['App'],['NULL'],['positive'],['SOFTWARE#GENERAL']
301,"This app is terrible. I wonder where the Pakistani government found these unskilled developers. Every public app they make has a bad interface and lots of errors. It's really frustrating. Also, this app doesn't even let you create an account. Overall, it's just a really awful app.",1,2024-01-07 12:41:41,['app'],['terrible'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
302,Good work State Bank,5,2024-01-04 09:21:56,['State Bank'],['Good work'],['positive'],['SUPPORT#GENERAL']
303,The name of my city Dera Ismail Khan is not in the city name list. Please list Dera Ismail Khan in question no.1. Thanks,1,2024-01-03 22:30:30,['Dera Ismail Khan'],['NULL'],['negative'],['RESTAURANT#GENERAL']
304,Worst exp not listed any Complain,1,2024-01-03 19:31:42,['exp'],['Worst'],['negative'],['SERVICE#GENERAL']
305,Great app for banking problems,5,2024-01-03 14:51:50,['app'],['Great'],['positive'],['SOFTWARE#OPERATION_PERFORMANCE']
306,Sir what is exception occurred in get request approval list.,5,2024-01-02 18:46:52,['get request approval list'],['exception'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
307,"After successful ""Sign up"", fail to ""Sign in"", neither my initial password is accepting nor reset my new password. Bad experience. ğŸ˜",1,2024-01-02 14:33:00,['initial password'],['bad'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
308,Great app,5,2024-01-02 09:05:36,['app'],['Great'],['positive'],['SOFTWARE#GENERAL']
309,Horrible app,1,2024-01-02 07:41:09,['app'],['Horrible'],['negative'],['SOFTWARE#GENERAL']
310,Very ncy app easy to use and good support,5,2024-01-02 00:55:07,"['app', 'support']","['easy to use', 'good']","['positive', 'positive']","['SOFTWARE#USABILITY', 'SOFTWARE#USABILITY']"
311,"It worked very smoothly, no doubt sbp has done a good job. My complaint was resolved within 2 days. Hats off to you guys!!",5,2024-01-01 23:04:49,['sbp'],['good job'],['positive'],['COMPANY#GENERAL']
312,User friendly,5,2024-01-01 22:06:39,['user'],['friendly'],['positive'],['SOFTWARE#GENERAL']
313,Loved the application it's very beneficial for the costomers.,5,2024-01-01 21:59:51,"['application', 'costomers']","['Loved', 'beneficial']","['positive', 'positive']","['SOFTWARE#GENERAL', 'COMPANY#GENERAL']"
314,"Sign-up issue, OTP code received but not being useful.",1,2024-01-01 18:49:55,"['Sign-up issue', 'OTP code']","['not being useful', 'not being useful']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']"
315,Bug when registration submit...... where are the developers type '_oneByteString' is not a subtype of type int to index. OTP not receiving via sms,1,2024-01-01 16:30:43,"[""'_oneByteString'""]",['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
316,Worked as per required inputs so far.,5,2024-01-01 14:03:23,['NULL'],['NULL'],['positive'],['LAPTOP#OPERATION_PERFORMANCE']
317,Excellent condition,5,2024-01-01 13:41:30,['condition'],['Excellent'],['positive'],['LAPTOP#QUALITY']
318,could not register after receiving OTP code. hope to see action by developer team to resolve the issue.,2,2024-01-01 12:19:27,['NULL'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
319,Complaint has been registered,5,2024-01-01 11:56:50,['Complaint'],['registered'],['positive'],['SUPPORT#GENERAL']
320,Looks good user has been registered,5,2024-01-01 11:54:33,['user'],['good'],['positive'],['SOFTWARE#GENERAL']
321,Very slow and confusing,1,2024-01-01 00:25:38,['NULL'],['slow'],['negative'],['LAPTOP#OPERATION_PERFORMANCE']
322,Bekaaar Sign up me hee masla he aagay konse teer maare gi,1,2024-01-01 00:24:43,['hee masla'],['NULL'],['positive'],['RESTAURANT#GENERAL']
323,User has been registered and I just lodge my complaint hope so positive response,5,2023-12-31 22:55:19,['User'],['NULL'],['positive'],['SOFTWARE#GENERAL']
324,Succesafully lodge complaint UI is friendly,5,2023-12-31 22:48:53,['UI'],['friendly'],['positive'],['OS#GENERAL']
325,"Ù¾Ø§Ø³ÙˆØ±Úˆ Ú¾ÛŒ Ø±Ø³ÛŒÙˆ Ù†ÛÛŒÚº Ú¾ÙˆØªØ§Û” Ø¯ÙˆØ¨Ø§Ø±Û Ø§Ùˆ Ù¹ÛŒ Ù¾ÛŒ Ú©Û’ Ù„Ø¦Û’ Ø¯Ø³ Ù…Ù†Ù¹ Ú©Ø§ ÙˆÛŒÙ¹ Ù¹Ø§Ø¦Ù… Ú¾Û’ Ø¬Ùˆ Ø¨ÛØª Ø²ÛŒØ§Ø¯Û Ù¹Ø§Ø¦Ù… Ú¾Û’ Ø¨Ø§Ù„Ú©Ù„ Ø¨ÛŒÚ©Ø§Ø± Ø§ÛŒÙ¾ Ú¾Û’ Totally useless app U will not receive the password after logging in. For the second time OTP u have to wait for 10 minutes, which is tooooo much time.",1,2023-12-31 19:51:34,['app'],['useless'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
326,Unable to login,1,2023-12-31 14:51:54,['login'],['Unable'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
327,very poor by SBP. getting high wages and inducted poor lazy uneducated peoples. even one app can't b launched in a proper way. a university level student can't be developed by SBP. password received after too much time tha input screen gone when screen reappeared password expired. almost 5 tries sane result. Shane on sbm IT team....,1,2023-12-31 11:55:41,['NULL'],['poor'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
328,"Creating app for customers while ignoring private banks overburdening the staff with loads of work. My manager put all work on my shoulders while their favorite staff is roaming free, this affects my performance and output. They are not keeping the proper work force. Many private banks needs to through rigorous checking by SBP for JDs. SBP is keeping blind eye for lower staff.",1,2023-12-31 10:48:45,"['private banks', 'private banks']","['ignoring', 'overburdening the staff']","['negative', 'negative']","['SUPPORT#GENERAL', 'SUPPORT#GENERAL']"
329,Another terrible experience with this public app! No OTP is being received. Last time it shows the developers updated this app 6 months ago. It means they are not even interested to upgrade it n fix the bugs whereas the hundreds of users have highlighted the same issues again and again.,1,2023-12-31 00:16:49,['public app'],['terrible experience'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
330,Worst ever app...no response received from so called OTP......,1,2023-12-30 21:12:29,['app'],['Worst'],['negative'],['SOFTWARE#GENERAL']
331,application not working properly. facing the issues in sign up.,1,2023-12-30 14:43:26,['application'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
332,Very useful application for peoples,5,2023-12-30 14:37:44,['application'],['useful'],['positive'],['SOFTWARE#USABILITY']
333,It is a very user friendly app. Nice experience using it.,5,2023-12-30 13:14:00,['app'],['user friendly'],['positive'],['SOFTWARE#USABILITY']
334,"Pathetic app, didn't create profile for complaint registration",1,2023-12-30 11:18:32,['app'],['Pathetic'],['negative'],['SOFTWARE#GENERAL']
335,"Worst App!!! Even after its relaunch, the team has failed to address Signup issues. Also there is no sense for the requirement of 12 digit password. Before making a public announcement of the app relaunch, your QA team should have atleast checked and resolved basic bugs.",1,2023-12-30 10:20:25,['App'],['Worst'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
336,App is launched without testing by SBP. This is the level of our Regulatory Institutions that they even don't know the basics of launching a new application. OTP generated is not being accepted by App. It took 10 mints for requesting new OTP. I am trying to sign up for the first time and app shows user already exists.,1,2023-12-30 09:34:39,['App'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
337,Sign up feature is not working,2,2023-12-30 01:47:42,['Sign up feature'],['not working'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
338,Sir apny jo portal jari ki hai sunwai us main arifwala city add nahi hai is ko bi add kary thanks,1,2023-12-29 22:28:49,['portal'],['NULL'],['positive'],['SERVICE#GENERAL']
339,"Not even enable to login as i entered otp, app shows message that something went wrong while setting password on active directory.",1,2023-12-29 22:08:50,['app'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
340,nice steps taken. its a user friendly app.,5,2023-12-29 17:48:20,['app'],['nice'],['positive'],['SOFTWARE#USABILITY']
341,Excellent work by SBP.. Very helpful application,5,2023-12-29 17:43:06,"['work', 'application']","['Excellent', 'helpful']","['positive', 'positive']","['LAPTOP#GENERAL', 'SOFTWARE#GENERAL']"
342,Successful created user and lodge a complaint thaankyou,5,2023-12-29 16:31:33,['user'],['Successful'],['positive'],['SOFTWARE#GENERAL']
343,Use less,1,2023-12-29 16:14:25,['NULL'],['less'],['negative'],['LAPTOP#OPERATION_PERFORMANCE']
344,Best App For Customersâ¤â¤â¤,5,2023-12-29 16:01:38,['App'],['Best'],['positive'],['SOFTWARE#GENERAL']
345,Great application and also user-friendly.,5,2023-12-29 15:33:31,['application'],['Great'],['positive'],['SOFTWARE#USABILITY']
346,Not good experience,1,2023-12-29 15:29:11,['NULL'],['Not good'],['negative'],['LAPTOP#GENERAL']
347,Good,5,2023-04-07 05:16:20,['NULL'],['Good'],['positive'],['LAPTOP#GENERAL']
348,Not working,1,2023-03-01 22:02:21,['NULL'],['Not working'],['negative'],['LAPTOP#OPERATION_PERFORMANCE']
349,- a third class app like third class bank. - rubbish developer who made this useless app. - Pakistani banks are worst in Digital Banking interface.,1,2023-02-16 00:21:43,"['app', 'Pakistani banks']","['third class', 'useless']","['negative', 'negative']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']"
350,Useless,1,2023-02-02 02:35:18,['NULL'],['useless'],['negative'],['LAPTOP#OPERATION_PERFORMANCE']
351,Very very very POOR service. not getting OTP.ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡ğŸ˜¡,1,2023-01-05 21:01:27,['service'],['POOR'],['negative'],['SERVICE#GENERAL']
352,Unable to sign up,1,2022-12-18 13:53:51,['sign up'],['Unable'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
353,Umable to login... Every time same error of SOMETHING WENT WRONG,1,2022-12-06 14:58:29,['login'],['Umable'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
354,Was not able to even sign-up. It was stuck on Gender box and did not move forward. This App really reflect the quality of service at our public institutions. Pathetic work - least to say.,1,2022-12-06 14:03:10,['App'],['pate the quality of service'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
355,very helpful and very power full,5,2022-12-05 18:21:58,['NULL'],['helpful'],['positive'],['LAPTOP#GENERAL']
356,Another absolutely rubbish app by SBP. First sohni darti app for overseas Pakistani you can not use NICOP on that. Now this one which never created your account and doesn't let you log in When SBP will create something reliable?,1,2022-12-02 17:38:00,['app'],['rude'],['negative'],['SOFTWARE#GENERAL']
357,I have no experience,5,2022-12-02 14:43:59,['NULL'],['NULL'],['negative'],['LAPTOP#GENERAL']
358,Still not functional properly. Password acceptance is having some issues.,1,2022-12-02 00:43:02,['Password acceptance'],['not functional properly'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
359,Ù…Ø§Ø´Ø§Ø¡Ø§Ù„Ù„Û Ø§Ú†Ú¾ÛŒ Ø¨Ø§Øª Ú¾Û’ Ø§Ù…ÛŒØ¯ Ú¾Û’ Ø§Ø³ Ú©Ùˆ Ù¾Ø±Ø§Ù¾Ø± Ù…Ø§Ù†ÛŒÙ¹Ø± Ú©ÛŒØ§ Ø¬Ø§Ø¦Û’ Ú¯Ø§,5,2022-12-01 15:44:35,['NULL'],['NULL'],['negative'],['LAPTOP#GENERAL']
360,Can't create ID and sign in or sign up,1,2022-12-01 14:01:31,['ID'],"[""Can't create""]",['negative'],['SOFTWARE#GENERAL']
361,This is a tribble application even not able to register otp is not working i wonder even how this app is relased to store without testign,1,2022-12-01 12:18:03,['tribble application'],['NULL'],['negative'],['SOFTWARE#OPERATION_PERFORMANCE']
362,Doesnt accept the password (fullfilled all requirements) during signup...,1,2022-09-03 03:53:06,['password'],['NULL'],['negative'],['KEYBOARD#GENERAL']
363,Expect more improvements to come in future.,5,2022-07-08 16:16:32,['improvements'],['Expect more'],['positive'],['LAPTOP#GENERAL']
364,application and web site login is not active password during setting password,1,2022-07-03 09:09:25,"['application', 'web site login']","['NULL', 'NULL']","['negative', 'negative']","['SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#OPERATION_PERFORMANCE']"
365,"Very convenient to use, especially in urdu version",5,2022-06-28 19:20:10,['urdu version'],['convenient'],['positive'],['SOFTWARE#USABILITY']
366,Excellent initiative and appğŸ§¡,5,2022-06-28 19:10:17,"['initiative', 'app']","['Excellent', 'Excellent']","['positive', 'positive']","['SOFTWARE#GENERAL', 'SOFTWARE#GENERAL']"
